source_group_id,speaker_cluster_id,cluster_row_count,sample_count,sample_utterance_ids,sample_audio_paths,sample_video_paths,sample_text,role_label,role_confidence,witness_in_segment,witness_speaking_status,visual_target_role,visual_speaker_match,review_notes
1tyKO8mTdOM,SPEAKER_10,120,3,1tyKO8mTdOM_turn00397 | 1tyKO8mTdOM_turn00400 | 1tyKO8mTdOM_turn00401,/Users/rajeshpmu/Desktop/LegalMemoCMT/data/processed/phase2/clancy/turn_clips/audio/1tyKO8mTdOM/1tyKO8mTdOM_turn00397.wav | /Users/rajeshpmu/Desktop/LegalMemoCMT/data/processed/phase2/clancy/turn_clips/audio/1tyKO8mTdOM/1tyKO8mTdOM_turn00400.wav | /Users/rajeshpmu/Desktop/LegalMemoCMT/data/processed/phase2/clancy/turn_clips/audio/1tyKO8mTdOM/1tyKO8mTdOM_turn00401.wav,/Users/rajeshpmu/Desktop/LegalMemoCMT/data/processed/phase2/clancy/turn_clips/video/1tyKO8mTdOM/1tyKO8mTdOM_turn00397.mp4 | /Users/rajeshpmu/Desktop/LegalMemoCMT/data/processed/phase2/clancy/turn_clips/video/1tyKO8mTdOM/1tyKO8mTdOM_turn00400.mp4 | /Users/rajeshpmu/Desktop/LegalMemoCMT/data/processed/phase2/clancy/turn_clips/video/1tyKO8mTdOM/1tyKO8mTdOM_turn00401.mp4,"My name is Donald Condi. C O N D I E. || I uh graduated from Tulain University, then spent some time at uh in graduate school at the University of New Orleans, then went to medical school at Louisiana State University in New Orleans, and then I came to Boston to the Massachusetts Mental Health Center. uh to train in psychiatry. || And where is that?",,,,,,,
1tyKO8mTdOM,SPEAKER_11,487,3,1tyKO8mTdOM_turn00014 | 1tyKO8mTdOM_turn00016 | 1tyKO8mTdOM_turn00017,/Users/rajeshpmu/Desktop/LegalMemoCMT/data/processed/phase2/clancy/turn_clips/audio/1tyKO8mTdOM/1tyKO8mTdOM_turn00014.wav | /Users/rajeshpmu/Desktop/LegalMemoCMT/data/processed/phase2/clancy/turn_clips/audio/1tyKO8mTdOM/1tyKO8mTdOM_turn00016.wav | /Users/rajeshpmu/Desktop/LegalMemoCMT/data/processed/phase2/clancy/turn_clips/audio/1tyKO8mTdOM/1tyKO8mTdOM_turn00017.wav,/Users/rajeshpmu/Desktop/LegalMemoCMT/data/processed/phase2/clancy/turn_clips/video/1tyKO8mTdOM/1tyKO8mTdOM_turn00014.mp4 | /Users/rajeshpmu/Desktop/LegalMemoCMT/data/processed/phase2/clancy/turn_clips/video/1tyKO8mTdOM/1tyKO8mTdOM_turn00016.mp4 | /Users/rajeshpmu/Desktop/LegalMemoCMT/data/processed/phase2/clancy/turn_clips/video/1tyKO8mTdOM/1tyKO8mTdOM_turn00017.mp4,"Thank you. Uh, call uh, Sue Clancy, please. Good morning. || Good morning. || Thank you.",,,,,,,
1tyKO8mTdOM,SPEAKER_12,73,3,1tyKO8mTdOM_turn00340 | 1tyKO8mTdOM_turn00341 | 1tyKO8mTdOM_turn00344,/Users/rajeshpmu/Desktop/LegalMemoCMT/data/processed/phase2/clancy/turn_clips/audio/1tyKO8mTdOM/1tyKO8mTdOM_turn00340.wav | /Users/rajeshpmu/Desktop/LegalMemoCMT/data/processed/phase2/clancy/turn_clips/audio/1tyKO8mTdOM/1tyKO8mTdOM_turn00341.wav | /Users/rajeshpmu/Desktop/LegalMemoCMT/data/processed/phase2/clancy/turn_clips/audio/1tyKO8mTdOM/1tyKO8mTdOM_turn00344.wav,/Users/rajeshpmu/Desktop/LegalMemoCMT/data/processed/phase2/clancy/turn_clips/video/1tyKO8mTdOM/1tyKO8mTdOM_turn00340.mp4 | /Users/rajeshpmu/Desktop/LegalMemoCMT/data/processed/phase2/clancy/turn_clips/video/1tyKO8mTdOM/1tyKO8mTdOM_turn00341.mp4 | /Users/rajeshpmu/Desktop/LegalMemoCMT/data/processed/phase2/clancy/turn_clips/video/1tyKO8mTdOM/1tyKO8mTdOM_turn00344.mp4,"Yes. And um we are objecting to these || no || Is that the Commonwealth's objection is that the the window well is in the wrong place on the on the um drawing. And putting aside the late disclosure and the fact that I don't know if anyone who created this is going to come in and testify that they created it and whether it's to scale or not, but the the main objection is the uh that it's inaccurate.",,,,,,,
1tyKO8mTdOM,SPEAKER_13,12,3,1tyKO8mTdOM_turn00002 | 1tyKO8mTdOM_turn00003 | 1tyKO8mTdOM_turn00009,/Users/rajeshpmu/Desktop/LegalMemoCMT/data/processed/phase2/clancy/turn_clips/audio/1tyKO8mTdOM/1tyKO8mTdOM_turn00002.wav | /Users/rajeshpmu/Desktop/LegalMemoCMT/data/processed/phase2/clancy/turn_clips/audio/1tyKO8mTdOM/1tyKO8mTdOM_turn00003.wav | /Users/rajeshpmu/Desktop/LegalMemoCMT/data/processed/phase2/clancy/turn_clips/audio/1tyKO8mTdOM/1tyKO8mTdOM_turn00009.wav,/Users/rajeshpmu/Desktop/LegalMemoCMT/data/processed/phase2/clancy/turn_clips/video/1tyKO8mTdOM/1tyKO8mTdOM_turn00002.mp4 | /Users/rajeshpmu/Desktop/LegalMemoCMT/data/processed/phase2/clancy/turn_clips/video/1tyKO8mTdOM/1tyKO8mTdOM_turn00003.mp4 | /Users/rajeshpmu/Desktop/LegalMemoCMT/data/processed/phase2/clancy/turn_clips/video/1tyKO8mTdOM/1tyKO8mTdOM_turn00009.mp4,"Yes, please. || Attorney is represented by assistant district attorney general Frank and assistant district attorney Shannon Buckingham. All || Yes, please. We have a continuation of a jury trial matter. Miss Clancy is present. She is attorney and the commonwealth is represented by assistant district attorney general and assistant district attorney.",,,,,,,
1tyKO8mTdOM,SPEAKER_14,62,3,1tyKO8mTdOM_turn00792 | 1tyKO8mTdOM_turn00794 | 1tyKO8mTdOM_turn00797,/Users/rajeshpmu/Desktop/LegalMemoCMT/data/processed/phase2/clancy/turn_clips/audio/1tyKO8mTdOM/1tyKO8mTdOM_turn00792.wav | /Users/rajeshpmu/Desktop/LegalMemoCMT/data/processed/phase2/clancy/turn_clips/audio/1tyKO8mTdOM/1tyKO8mTdOM_turn00794.wav | /Users/rajeshpmu/Desktop/LegalMemoCMT/data/processed/phase2/clancy/turn_clips/audio/1tyKO8mTdOM/1tyKO8mTdOM_turn00797.wav,/Users/rajeshpmu/Desktop/LegalMemoCMT/data/processed/phase2/clancy/turn_clips/video/1tyKO8mTdOM/1tyKO8mTdOM_turn00792.mp4 | /Users/rajeshpmu/Desktop/LegalMemoCMT/data/processed/phase2/clancy/turn_clips/video/1tyKO8mTdOM/1tyKO8mTdOM_turn00794.mp4 | /Users/rajeshpmu/Desktop/LegalMemoCMT/data/processed/phase2/clancy/turn_clips/video/1tyKO8mTdOM/1tyKO8mTdOM_turn00797.mp4,"Um you're a little echoey, but I can hear you. || Um Dr. Elizabeth Laada, L A P O S A T A. || Okay. [clears throat] Uh tell us what you do for work, doctor. Uh well I'm a uh medical doctor uh board certified in anatomic and forensic pathology. So I have a active practice in forensic pathology where I review um cases to understand how people get injured or how people die",,,,,,,
1tyKO8mTdOM,UNKNOWN,15,3,1tyKO8mTdOM_turn00001 | 1tyKO8mTdOM_turn00084 | 1tyKO8mTdOM_turn00086,/Users/rajeshpmu/Desktop/LegalMemoCMT/data/processed/phase2/clancy/turn_clips/audio/1tyKO8mTdOM/1tyKO8mTdOM_turn00001.wav | /Users/rajeshpmu/Desktop/LegalMemoCMT/data/processed/phase2/clancy/turn_clips/audio/1tyKO8mTdOM/1tyKO8mTdOM_turn00084.wav | /Users/rajeshpmu/Desktop/LegalMemoCMT/data/processed/phase2/clancy/turn_clips/audio/1tyKO8mTdOM/1tyKO8mTdOM_turn00086.wav,/Users/rajeshpmu/Desktop/LegalMemoCMT/data/processed/phase2/clancy/turn_clips/video/1tyKO8mTdOM/1tyKO8mTdOM_turn00001.mp4 | /Users/rajeshpmu/Desktop/LegalMemoCMT/data/processed/phase2/clancy/turn_clips/video/1tyKO8mTdOM/1tyKO8mTdOM_turn00084.mp4 | /Users/rajeshpmu/Desktop/LegalMemoCMT/data/processed/phase2/clancy/turn_clips/video/1tyKO8mTdOM/1tyKO8mTdOM_turn00086.mp4,This court is now in session. May be seated. || Correct. || Very much so.,,,,,,,
93sfJyLzhqM,SPEAKER_01,3,3,93sfJyLzhqM_turn02850 | 93sfJyLzhqM_turn02851 | 93sfJyLzhqM_turn02869,/Users/rajeshpmu/Desktop/LegalMemoCMT/data/processed/phase2/clancy/turn_clips/audio/93sfJyLzhqM/93sfJyLzhqM_turn02850.wav | /Users/rajeshpmu/Desktop/LegalMemoCMT/data/processed/phase2/clancy/turn_clips/audio/93sfJyLzhqM/93sfJyLzhqM_turn02851.wav | /Users/rajeshpmu/Desktop/LegalMemoCMT/data/processed/phase2/clancy/turn_clips/audio/93sfJyLzhqM/93sfJyLzhqM_turn02869.wav,/Users/rajeshpmu/Desktop/LegalMemoCMT/data/processed/phase2/clancy/turn_clips/video/93sfJyLzhqM/93sfJyLzhqM_turn02850.mp4 | /Users/rajeshpmu/Desktop/LegalMemoCMT/data/processed/phase2/clancy/turn_clips/video/93sfJyLzhqM/93sfJyLzhqM_turn02851.mp4 | /Users/rajeshpmu/Desktop/LegalMemoCMT/data/processed/phase2/clancy/turn_clips/video/93sfJyLzhqM/93sfJyLzhqM_turn02869.mp4,"pretty much. While [snorts] we continue to wait for things to go back on the record inside of that courtroom, let's discuss this case with career prosecutor Wendy Patrick, who is here with us. Wendy, thank you for joining us. Let's talk about the type of witnesses who have been on the stand today. I'm not going to call them combative witnesses because they were all very pleasant to the prosecution, but they were subpoenaed to come. They are friends, former friends and former father-in-laws of the defendant. And much of their testimony suggests that they believe she was a wonderful mother. They didn't notice any issues where she perhaps had resentment or hatred towards her children or was being calculated in any way. What's it like for a prosecutor when you have to bring in these types of witnesses that are really not necessarily on your side, probably don't agree with the prosecution? We don't know what their stance is on these charges being brought, but it can make things difficult for the state. Well, it does make things difficult for the state, but the state already knew this before these witnesses were uh were going to be called. They knew they were on the agenda. They knew what they were going to say. And this is typical in cases like this. You have family members that may love the defendant that are simply coming in and describing their observations at a point in time. And that is where the paths diverge is this is not a case where somebody is saying this was a terrible mother throughout her entire uh maternal uh time raising these three kids and the the the youngest one being of course very young. But this is a specific defense of postpartum psychosis that occurred at a particular point in time. So obviously it is not going to be a difficult issue that there would be sometimes that she not only would be normal but very loving. What the defense is trying to say is that at the time of the murders, she did not have the state of mind where she could be criminally liable. That's important. Now, you may think, ""Oh, that makes it more difficult for the prosecution."" Not necessarily given that they're not saying that there wasn't an issue there or they are conceding that there might have been some problems raising children or there might have been some depression or whatever else it was. They are saying at the time of the murders by strangulation that the defendant knew what she was doing. And more than that, their theory is that this was something pre-planned, premeditated, intentional, strategized. They need to prove that mental state, but they also don't need to disprove that this was somebody that didn't love her children or that didn't have very positive qualities at other points in time. How important do you think that ownership is? I think there are often times that attorneys can do a lot in terms of ownership and gain those points with the jury when there are bad facts. And in this case, I think a bad fact for the prosecution is that this was a woman who was admitting to her struggles, admitting to needing help, was reaching out for help. Do they need to own the fact that yes, she was struggling? They mentioned it in their opening statement, but I'm curious as to how far they're going to go once they get into their closings just because the direct of some of these witnesses, they seem to be honing in on she seemed normal. Yes, they need to own it and they did the right thing in opening statement by drawing the stain. They don't want to seem like they're surprised by the fact that these family members came in and said the positive things that they did. It is not the case that in all criminal cases you have a defendant that is just routinely unkind and unsympathetic in every facet of her life. That's rarely if ever the case. Normally you have cases like this where at a point in time you have a terrible crime that was committed and the prosecution simply needs to prove what they've charged. They don't need to prove she's a bad mother. They don't need to prove she didn't love her children. They wouldn't try to prove such things because it's not supported by the evidence. So, what they're going to do, Julia, in closing argument, they're going to tie in what they said in opening statement that was consistent with the evidence presented, maybe even saying something like, as we explained in opening, this isn't a case about blank. But they will also hammer home their theory of the case that at the time of the murders of those three precious children, she knew what she was doing. And I think it is going to be very interesting to hear how they sell it to the jury at the end when they have to make that distinction between mentally ill and whether or not in that illness she knew right from wrong or could not conform to it. They're saying that she absolutely did. How do you as a prosecutor, I don't know if you've had a case quite like this one, but let me know if you have, but how do you how do you whittle down that part of it if someone is dealing with this postpartum depression, but they're saying even if she was dealing with maybe not psychosis, but a serious mental issue, she still knew right from wrong, and that means she's still criminally responsible. || That's right. And I have had cases exactly like this postpartum psychosis. Despite it being rare, it happens in these cases often do go to trial. You'd need to have the evidence often formulate the argument that at the time of the killings based on the circumstantial evidence of requisite intent that she knew what she was doing. She knew right from wrong. But I have to say the challenge, you know, I've also been a criminal defense attorney. The challenge is that the defense is going to argue, look, you look at her or are what she did beforehand, but you also look at what she did afterwards where there's this split of opinion, not only as to what her mental state was at the time, but whether her actions afterwards were consistent. Did she try to commit suicide? Was it a half-hearted attempt? These are very heartbreaking cases for everyone involved. Uh, but they have to be litigated. And these are some of the tough arguments that have to be made, backed up in most cases by expert witness testimony that usually disagrees substantially as to not only what the diagnosis was, but whether or not that lends itself to an absence of criminal liability at the time of the crime. || Julia is you have to have the facts already out in the record for the experts to work with. Otherwise, the objection is facts, not evidence that it'll be sustained. So, you're going to have to lay these facts out as has been done. And that's one of the most important parts of what an expert is going to come in and say. They're going to come in and work with the facts that have already been presented. And when they come in, you're going to also see they're going to disagree uh at exactly the point in time that the jury has to focus in on. And that's important because what happened at the time that those three kids were killed is going to also include how long it took, the method of execution, what happened right beforehand, what happened afterwards, the statements that the defendant was making to others about thinking about doing this. Those are some of the most powerful pieces of evidence that those experts are going to have to work with. And another thing that's going to be very important for both sides is they're going to have to establish that these experts have specific expertise in the area of postpartum depression. It can't just be a jack-of-trades expert that knows a lot about mental illness because this is a very specific disorder, one that most jurors don't have any idea or personal experience with. That's what makes expert testimony in a case like this with this kind of a narrow defense even more important. So, they are probably going to wait until that culminating moment that jurors are waiting for to actually hear how in the world can they put these facts in context and decide what they have to decide based on the time of death.",,,,,,,
93sfJyLzhqM,SPEAKER_02,11,3,93sfJyLzhqM_turn01897 | 93sfJyLzhqM_turn02484 | 93sfJyLzhqM_turn02485,/Users/rajeshpmu/Desktop/LegalMemoCMT/data/processed/phase2/clancy/turn_clips/audio/93sfJyLzhqM/93sfJyLzhqM_turn01897.wav | /Users/rajeshpmu/Desktop/LegalMemoCMT/data/processed/phase2/clancy/turn_clips/audio/93sfJyLzhqM/93sfJyLzhqM_turn02484.wav | /Users/rajeshpmu/Desktop/LegalMemoCMT/data/processed/phase2/clancy/turn_clips/audio/93sfJyLzhqM/93sfJyLzhqM_turn02485.wav,/Users/rajeshpmu/Desktop/LegalMemoCMT/data/processed/phase2/clancy/turn_clips/video/93sfJyLzhqM/93sfJyLzhqM_turn01897.mp4 | /Users/rajeshpmu/Desktop/LegalMemoCMT/data/processed/phase2/clancy/turn_clips/video/93sfJyLzhqM/93sfJyLzhqM_turn02484.mp4 | /Users/rajeshpmu/Desktop/LegalMemoCMT/data/processed/phase2/clancy/turn_clips/video/93sfJyLzhqM/93sfJyLzhqM_turn02485.mp4,Katrina Readington. [snorts] || Thank you. || Readington. Thank you.,,,,,,,
93sfJyLzhqM,SPEAKER_03,11,3,93sfJyLzhqM_turn01609 | 93sfJyLzhqM_turn01610 | 93sfJyLzhqM_turn02519,/Users/rajeshpmu/Desktop/LegalMemoCMT/data/processed/phase2/clancy/turn_clips/audio/93sfJyLzhqM/93sfJyLzhqM_turn01609.wav | /Users/rajeshpmu/Desktop/LegalMemoCMT/data/processed/phase2/clancy/turn_clips/audio/93sfJyLzhqM/93sfJyLzhqM_turn01610.wav | /Users/rajeshpmu/Desktop/LegalMemoCMT/data/processed/phase2/clancy/turn_clips/audio/93sfJyLzhqM/93sfJyLzhqM_turn02519.wav,/Users/rajeshpmu/Desktop/LegalMemoCMT/data/processed/phase2/clancy/turn_clips/video/93sfJyLzhqM/93sfJyLzhqM_turn01609.mp4 | /Users/rajeshpmu/Desktop/LegalMemoCMT/data/processed/phase2/clancy/turn_clips/video/93sfJyLzhqM/93sfJyLzhqM_turn01610.mp4 | /Users/rajeshpmu/Desktop/LegalMemoCMT/data/processed/phase2/clancy/turn_clips/video/93sfJyLzhqM/93sfJyLzhqM_turn02519.mp4,"Nothing. || All right. Thank you, ma'am. You sit there. Thank you. || Yes.",,,,,,,
93sfJyLzhqM,SPEAKER_04,2,2,93sfJyLzhqM_turn02524 | 93sfJyLzhqM_turn02798,/Users/rajeshpmu/Desktop/LegalMemoCMT/data/processed/phase2/clancy/turn_clips/audio/93sfJyLzhqM/93sfJyLzhqM_turn02524.wav | /Users/rajeshpmu/Desktop/LegalMemoCMT/data/processed/phase2/clancy/turn_clips/audio/93sfJyLzhqM/93sfJyLzhqM_turn02798.wav,/Users/rajeshpmu/Desktop/LegalMemoCMT/data/processed/phase2/clancy/turn_clips/video/93sfJyLzhqM/93sfJyLzhqM_turn02524.mp4 | /Users/rajeshpmu/Desktop/LegalMemoCMT/data/processed/phase2/clancy/turn_clips/video/93sfJyLzhqM/93sfJyLzhqM_turn02798.mp4,"[clears throat] || All right. Thank you, sir. Let me sit down. Thank you. just come up. I see you over here just getting",,,,,,,
